region,parameter,powertrain,year,unit,value
Europe,EV stock share,EV,2015,percent,0.1400000005960464
Europe,EV stock share,EV,2016,percent,0.2199999988079071
Europe,EV sales share,EV,2016,percent,1.2000000476837158
Europe,EV sales share,EV,2017,percent,1.7000000476837158
Europe,EV stock share,EV,2017,percent,0.3100000023841858
Europe,EV stock share,EV,2018,percent,0.449999988079071
Europe,EV sales share,EV,2018,percent,2.299999952316284
Europe,EV sales share,EV,2019,percent,3.299999952316284
Europe,EV stock share,EV,2019,percent,0.6100000143051147
Europe,EV stock share,EV,2020,percent,1.100000023841858
Europe,EV sales share,EV,2020,percent,10.0
Europe,EV sales share,EV,2021,percent,17.0
Europe,EV stock share,EV,2021,percent,1.7999999523162842
Europe,EV stock share,EV,2022,percent,2.700000047683716
Europe,EV sales share,EV,2022,percent,20.0
Europe,EV sales share,EV,2023,percent,21.0
Europe,EV stock share,EV,2023,percent,3.799999952316284
Finland,EV sales share,EV,2011,percent,0.025000000372529
Finland,EV stock share,EV,2011,percent,0.0020000000949949
Finland,EV stock share,EV,2012,percent,0.0086000002920627
Finland,EV sales share,EV,2012,percent,0.1700000017881393
Finland,EV sales share,EV,2013,percent,0.209999993443489
Finland,EV stock share,EV,2013,percent,0.0170000009238719
Finland,EV stock share,EV,2014,percent,0.0340000018477439
Finland,EV sales share,EV,2014,percent,0.4099999964237213
Finland,EV sales share,EV,2015,percent,0.6000000238418579
Finland,EV stock share,EV,2015,percent,0.0579999983310699
Finland,EV stock share,EV,2016,percent,0.1199999973177909
Finland,EV sales share,EV,2016,percent,1.2000000476837158
Finland,EV sales share,EV,2017,percent,2.5999999046325684
Finland,EV stock share,EV,2017,percent,0.2599999904632568
Finland,EV stock share,EV,2018,percent,0.5600000023841858
Finland,EV sales share,EV,2018,percent,4.699999809265137
Finland,EV sales share,EV,2019,percent,6.900000095367432
Finland,EV stock share,EV,2019,percent,1.100000023841858
Finland,EV stock share,EV,2020,percent,2.0
Finland,EV sales share,EV,2020,percent,18.0
Finland,EV sales share,EV,2021,percent,31.0
Finland,EV stock share,EV,2021,percent,3.5999999046325684
Finland,EV stock share,EV,2022,percent,5.400000095367432
Finland,EV sales share,EV,2022,percent,38.0
Finland,EV sales share,EV,2023,percent,54.0
Finland,EV stock share,EV,2023,percent,8.100000381469727
France,EV sales share,EV,2010,percent,0.0120000001043081
France,EV stock share,EV,2010,percent,0.0009299999801442
France,EV stock share,EV,2011,percent,0.0093000000342726
France,EV sales share,EV,2011,percent,0.1199999973177909
France,EV sales share,EV,2012,percent,0.3300000131130218
France,EV stock share,EV,2012,percent,0.0280000008642673
France,EV stock share,EV,2013,percent,0.0579999983310699
France,EV sales share,EV,2013,percent,0.5299999713897705
France,EV sales share,EV,2014,percent,0.6899999976158142
France,EV stock share,EV,2014,percent,0.0970000028610229
France,EV stock share,EV,2015,percent,0.1700000017881393
France,EV sales share,EV,2015,percent,1.2000000476837158
France,EV sales share,EV,2016,percent,1.399999976158142
France,EV stock share,EV,2016,percent,0.2599999904632568
France,EV stock share,EV,2017,percent,0.4600000083446502
France,EV sales share,EV,2017,percent,1.7000000476837158
France,EV sales share,EV,2018,percent,2.0
France,EV stock share,EV,2018,percent,0.6000000238418579
France,EV stock share,EV,2019,percent,0.6600000262260437
France,EV sales share,EV,2019,percent,2.700000047683716
France,EV sales share,EV,2020,percent,11.0
France,EV stock share,EV,2020,percent,1.100000023841858
France,EV stock share,EV,2021,percent,1.899999976158142
France,EV sales share,EV,2021,percent,17.0
France,EV sales share,EV,2022,percent,20.0
France,EV stock share,EV,2022,percent,2.799999952316284
France,EV stock share,EV,2023,percent,4.099999904632568
France,EV sales share,EV,2023,percent,25.0
Germany,EV stock share,EV,2010,percent,0.0005799999926239
Germany,EV sales share,EV,2010,percent,0.0049000000581145
Germany,EV sales share,EV,2011,percent,0.0520000010728836
Germany,EV stock share,EV,2011,percent,0.0043999999761581
Germany,EV stock share,EV,2012,percent,0.0120000001043081
Germany,EV sales share,EV,2012,percent,0.1099999994039535
Germany,EV sales share,EV,2013,percent,0.2300000041723251
Germany,EV stock share,EV,2013,percent,0.0280000008642673
Germany,EV stock share,EV,2014,percent,0.0560000017285347
Germany,EV sales share,EV,2014,percent,0.449999988079071
Germany,EV sales share,EV,2015,percent,0.7300000190734863
Germany,EV stock share,EV,2015,percent,0.0970000028610229
Germany,EV stock share,EV,2016,percent,0.1400000005960464
Germany,EV sales share,EV,2016,percent,0.7400000095367432
Germany,EV sales share,EV,2017,percent,1.600000023841858
Germany,EV stock share,EV,2017,percent,0.2199999988079071
Germany,EV stock share,EV,2018,percent,0.3499999940395355
Germany,EV sales share,EV,2018,percent,2.0
Germany,EV sales share,EV,2019,percent,3.0
Germany,EV stock share,EV,2019,percent,0.5
Germany,EV stock share,EV,2020,percent,1.2999999523162842
Germany,EV sales share,EV,2020,percent,14.0
Germany,EV sales share,EV,2021,percent,26.0
Germany,EV stock share,EV,2021,percent,2.5999999046325684
Germany,EV stock share,EV,2022,percent,3.900000095367432
Germany,EV sales share,EV,2022,percent,31.0
Germany,EV sales share,EV,2023,percent,24.0
Germany,EV stock share,EV,2023,percent,5.400000095367432
Greece,EV stock share,EV,2013,percent,6.7000000854e-05
Greece,EV sales share,EV,2013,percent,0.0051000001840293
Greece,EV sales share,EV,2014,percent,0.0549999997019767
Greece,EV stock share,EV,2014,percent,0.0009500000160187
Greece,EV stock share,EV,2015,percent,0.0027000000700354
Greece,EV sales share,EV,2015,percent,0.0780000016093254
Greece,EV sales share,EV,2016,percent,0.1199999973177909
Greece,EV stock share,EV,2016,percent,0.0049999998882412
Greece,EV stock share,EV,2017,percent,0.0096000004559755
Greece,EV sales share,EV,2017,percent,0.2199999988079071
Greece,EV sales share,EV,2018,percent,0.2899999916553497
Greece,EV stock share,EV,2018,percent,0.0170000009238719
Greece,EV stock share,EV,2019,percent,0.0289999991655349
Greece,EV sales share,EV,2019,percent,0.4199999868869781
Greece,EV sales share,EV,2020,percent,2.5999999046325684
Greece,EV stock share,EV,2020,percent,0.0829999968409538
Greece,EV stock share,EV,2021,percent,0.2599999904632568
Greece,EV sales share,EV,2021,percent,6.900000095367432
Greece,EV sales share,EV,2022,percent,7.900000095367432
Greece,EV stock share,EV,2022,percent,0.5199999809265137
Greece,EV stock share,EV,2023,percent,0.9100000262260436
Greece,EV sales share,EV,2023,percent,14.0
Hungary,EV sales share,EV,2015,percent,0.1700000017881393
Hungary,EV sales share,EV,2016,percent,0.3600000143051147
Hungary,EV sales share,EV,2017,percent,1.0
Hungary,EV sales share,EV,2018,percent,1.5
Hungary,EV sales share,EV,2019,percent,1.899999976158142
Hungary,EV sales share,EV,2020,percent,4.699999809265137
Hungary,EV sales share,EV,2021,percent,7.0
Hungary,EV sales share,EV,2022,percent,8.600000381469727
Hungary,EV sales share,EV,2023,percent,11.0
Iceland,EV stock share,EV,2010,percent,0.0066999997943639
Iceland,EV stock share,EV,2011,percent,0.0066999997943639
Iceland,EV stock share,EV,2012,percent,0.0189999993890523
Iceland,EV sales share,EV,2012,percent,0.3300000131130218
Iceland,EV sales share,EV,2013,percent,1.399999976158142
Iceland,EV stock share,EV,2013,percent,0.06700000166893
Iceland,EV stock share,EV,2014,percent,0.1500000059604644
Iceland,EV sales share,EV,2014,percent,2.400000095367432
Iceland,EV sales share,EV,2015,percent,3.900000095367432
Iceland,EV stock share,EV,2015,percent,0.3600000143051147
Iceland,EV stock share,EV,2016,percent,0.75
Iceland,EV sales share,EV,2016,percent,6.300000190734863
Iceland,EV sales share,EV,2017,percent,14.0
Iceland,EV stock share,EV,2017,percent,1.7000000476837158
Iceland,EV stock share,EV,2018,percent,3.400000095367432
Iceland,EV sales share,EV,2018,percent,20.0
Iceland,EV sales share,EV,2019,percent,26.0
Iceland,EV stock share,EV,2019,percent,4.699999809265137
Iceland,EV stock share,EV,2020,percent,6.5
Iceland,EV sales share,EV,2020,percent,52.0
Iceland,EV sales share,EV,2021,percent,70.0
Iceland,EV stock share,EV,2021,percent,9.300000190734863
Iceland,EV stock share,EV,2022,percent,14.0
Iceland,EV sales share,EV,2022,percent,69.0
Iceland,EV sales share,EV,2023,percent,71.0
Iceland,EV stock share,EV,2023,percent,18.0
India,EV sales share,EV,2010,percent,0.0209999997168779
India,EV stock share,EV,2010,percent,0.0049999998882412
India,EV stock share,EV,2011,percent,0.0066999997943639
India,EV sales share,EV,2011,percent,0.0560000017285347
India,EV sales share,EV,2012,percent,0.0071999998763203
India,EV stock share,EV,2012,percent,0.0120000001043081
India,EV stock share,EV,2013,percent,0.0120000001043081
India,EV sales share,EV,2013,percent,0.0160000007599592
India,EV sales share,EV,2014,percent,0.0379999987781047
India,EV stock share,EV,2014,percent,0.0130000002682209
India,EV stock share,EV,2015,percent,0.0149999996647238
India,EV sales share,EV,2015,percent,0.0170000009238719
India,EV sales share,EV,2016,percent,0.0260000005364418
India,EV stock share,EV,2016,percent,0.0149999996647238
India,EV stock share,EV,2017,percent,0.0209999997168779
India,EV sales share,EV,2017,percent,0.0309999994933605
India,EV sales share,EV,2018,percent,0.0299999993294477
India,EV stock share,EV,2018,percent,0.0219999998807907
India,EV stock share,EV,2019,percent,0.0219999998807907
India,EV sales share,EV,2019,percent,0.0240000002086162
India,EV stock share,EV,2020,percent,0.0289999991655349
India,EV sales share,EV,2020,percent,0.1199999973177909
India,EV sales share,EV,2021,percent,0.3499999940395355
India,EV stock share,EV,2021,percent,0.0540000014007091
India,EV stock share,EV,2022,percent,0.1500000059604644
India,EV sales share,EV,2022,percent,1.2000000476837158
India,EV sales share,EV,2023,percent,2.0
India,EV stock share,EV,2023,percent,0.3100000023841858
Ireland,EV sales share,EV,2015,percent,0.4699999988079071
Ireland,EV sales share,EV,2016,percent,0.4699999988079071
Ireland,EV sales share,EV,2017,percent,0.7200000286102295
Ireland,EV sales share,EV,2018,percent,1.600000023841858
Ireland,EV sales share,EV,2019,percent,4.099999904632568
Ireland,EV sales share,EV,2020,percent,7.400000095367432
Ireland,EV sales share,EV,2021,percent,16.0
Ireland,EV sales share,EV,2022,percent,22.0
Ireland,EV sales share,EV,2023,percent,27.0
Israel,EV stock share,EV,2010,percent,0.0003199999919161
Israel,EV stock share,EV,2011,percent,0.0043000001460313
Israel,EV sales share,EV,2011,percent,0.001300000003539
Israel,EV sales share,EV,2012,percent,0.270000010728836
Israel,EV stock share,EV,2012,percent,0.0289999991655349
Israel,EV stock share,EV,2013,percent,0.0480000004172325
Israel,EV sales share,EV,2013,percent,0.209999993443489
Israel,EV sales share,EV,2014,percent,0.0219999998807907
Israel,EV stock share,EV,2014,percent,0.0560000017285347
Israel,EV stock share,EV,2015,percent,0.0549999997019767
Israel,EV sales share,EV,2015,percent,0.0240000002086162
Israel,EV sales share,EV,2016,percent,0.0219999998807907
Israel,EV stock share,EV,2016,percent,0.0540000014007091
Israel,EV stock share,EV,2017,percent,0.1099999994039535
Israel,EV sales share,EV,2017,percent,0.5199999809265137
Israel,EV sales share,EV,2018,percent,1.2000000476837158
Israel,EV stock share,EV,2018,percent,0.2300000041723251
Israel,EV stock share,EV,2019,percent,0.3700000047683716
